Customer_ID,Age,Gender,City,Annual_Income,Total_Spending,Average_Order_Value,Purchase_Frequency,Preferred_Category,Discount_Usage,Days_Since_Last_Purchase,Customer_Lifetime_Months
LUM-1101,31,Female,Dubai,45600.0,1845.95,115.37,16,Skincare,0.23,48,3
LUM-1102,32,Female,London,79400.0,3297.98,194.0,17,Makeup,0.52,82,44
LUM-1103,27,Female,London,121300.0,5078.55,123.87,41,Makeup,0.29,69,40
LUM-1104,34,Female,Los Angeles,83600.0,3731.98,233.25,16,Skincare,0.29,39,56
LUM-1105,40,Female,Dubai,91600.0,3870.41,175.93,22,Skincare,0.17,8,15
LUM-1106,56,Female,London,50100.0,1988.6,110.48,18,Bath & Body,0.54,35,44
LUM-1107,37,Male,Milan,119400.0,4366.86,118.02,37,Bath & Body,0.12,24,46
LUM-1108,38,Female,Tokyo,44900.0,2105.86,161.99,13,Skincare,0.34,44,26
LUM-1109,35,Female,Los Angeles,67300.0,2909.73,242.48,12,Haircare,0.49,62,34
LUM-1110,18,Female,Milan,107000.0,4214.89,210.74,20,Haircare,0.25,47,32
LUM-1111,35,Female,Paris,22000.0,1028.56,171.43,6,Makeup,0.26,65,8
LUM-1112,36,Female,New York,91100.0,3819.59,136.41,28,Fragrance,0.08,2,40
LUM-1113,63,Female,Los Angeles,48600.0,2234.05,171.85,13,Makeup,0.37,1,35
LUM-1114,33,Male,Paris,85600.0,3582.95,210.76,17,Makeup,0.51,10,46
LUM-1115,39,Female,New York,72700.0,3222.53,214.84,15,Fragrance,0.58,80,57
LUM-1116,35,Non-Binary,Tokyo,158700.0,5972.41,135.74,44,Skincare,0.15,60,25
LUM-1117,23,Male,London,71200.0,2845.37,203.24,14,Haircare,0.11,40,12
LUM-1118,48,Female,Milan,149500.0,6064.77,189.52,32,Makeup,0.22,42,59
LUM-1119,44,Male,Dubai,105500.0,3965.29,247.83,16,Fragrance,0.18,45,48
LUM-1120,44,Female,Milan,56900.0,2350.75,235.08,10,Bath & Body,0.08,100,17
LUM-1121,25,Male,Tokyo,96600.0,4251.27,212.56,20,Makeup,0.05,62,25
LUM-1122,51,Female,Paris,74300.0,2936.39,209.74,14,Haircare,0.15,34,58
LUM-1123,20,Male,Dubai,93500.0,3742.91,124.76,30,Skincare,0.12,38,38
LUM-1124,42,Male,London,60000.0,2476.41,225.13,11,Makeup,0.49,8,59
LUM-1125,60,Male,Tokyo,144200.0,5012.03,151.88,33,Makeup,0.09,37,3
LUM-1126,25,Male,Dubai,117400.0,4572.01,127.0,36,Fragrance,0.18,19,10
LUM-1127,29,Female,Tokyo,86100.0,3210.31,145.92,22,Bath & Body,0.08,5,5
LUM-1128,37,Female,Tokyo,145500.0,5668.87,218.03,26,Bath & Body,0.2,57,16
LUM-1129,30,Female,London,87600.0,3897.69,105.34,37,Skincare,0.46,24,19
LUM-1130,18,Female,Los Angeles,123400.0,4154.75,159.8,26,Haircare,0.26,132,36
LUM-1131,36,Female,New York,86300.0,3398.42,161.83,21,Skincare,0.04,11,49
LUM-1132,24,Female,Dubai,98800.0,4093.7,87.1,47,Makeup,0.2,22,8
LUM-1133,41,Non-Binary,London,82100.0,2718.5,113.27,24,Makeup,0.21,20,7
LUM-1134,25,Female,Tokyo,88300.0,3991.38,221.74,18,Bath & Body,0.18,4,48
LUM-1135,53,Male,London,91000.0,3798.97,223.47,17,Haircare,0.45,19,53
LUM-1136,27,Female,Los Angeles,61600.0,2980.96,129.61,23,Fragrance,0.53,11,43
LUM-1137,32,Male,New York,71000.0,2815.82,234.65,12,Haircare,0.55,6,42
LUM-1138,44,Male,Milan,77400.0,3076.0,205.07,15,Makeup,0.28,11,31
LUM-1139,22,Female,Dubai,93000.0,3706.72,148.27,25,Fragrance,0.67,9,37
LUM-1140,38,Female,New York,83900.0,4077.96,203.9,20,Haircare,0.37,46,20
LUM-1141,50,Male,Paris,126100.0,5308.93,241.32,22,Haircare,0.06,1,42
LUM-1142,18,Female,Dubai,114600.0,4550.7,156.92,29,Fragrance,0.27,33,50
LUM-1143,38,Female,New York,78100.0,3309.82,122.59,27,Makeup,0.32,50,32
LUM-1144,38,Female,Tokyo,133400.0,5359.47,243.61,22,Haircare,0.01,22,17
LUM-1145,44,Female,Dubai,150600.0,6488.47,180.24,36,Fragrance,0.16,93,55
LUM-1146,22,Female,Dubai,22000.0,1384.82,98.92,14,Makeup,0.13,43,17
LUM-1147,21,Female,London,117600.0,4629.79,178.07,26,Fragrance,0.06,48,18
LUM-1148,41,Female,Tokyo,60700.0,2522.92,168.19,15,Fragrance,0.31,7,59
LUM-1149,39,Female,Paris,113000.0,4525.47,226.27,20,Haircare,0.07,52,35
LUM-1150,38,Non-Binary,Milan,128300.0,4814.39,171.94,28,Makeup,0.42,62,12
LUM-1151,39,Female,Los Angeles,54300.0,2549.33,121.4,21,Haircare,0.3,15,21
LUM-1152,28,Non-Binary,New York,22000.0,840.22,210.06,4,Skincare,0.34,8,39
LUM-1153,38,Female,London,114200.0,4418.85,169.96,26,Skincare,0.3,17,52
LUM-1154,39,Female,New York,89700.0,3859.89,120.62,32,Makeup,0.25,47,5
LUM-1155,28,Female,Paris,26600.0,1541.74,171.3,9,Fragrance,0.23,18,38
LUM-1156,56,Female,Paris,173500.0,6433.71,221.85,29,Haircare,0.48,46,6
LUM-1157,41,Female,Dubai,106900.0,4171.89,86.91,48,Haircare,0.33,4,13
LUM-1158,22,Female,Los Angeles,108500.0,4608.1,184.32,25,Makeup,0.19,57,43
LUM-1159,43,Female,Paris,132800.0,4784.88,140.73,34,Makeup,0.36,10,35
LUM-1160,25,Female,New York,64700.0,2403.12,126.48,19,Skincare,0.41,10,30
LUM-1161,44,Female,Tokyo,89600.0,3357.11,145.96,23,Bath & Body,0.47,31,34
LUM-1162,48,Female,Tokyo,38800.0,1854.8,142.68,13,Makeup,0.21,2,59
LUM-1163,26,Female,Dubai,63700.0,2322.48,232.25,10,Bath & Body,0.38,1,18
LUM-1164,46,Male,Milan,98500.0,4233.4,128.28,33,Makeup,0.15,10,11
LUM-1165,40,Female,New York,26700.0,1157.21,192.87,6,Fragrance,0.14,27,13
LUM-1166,45,Female,New York,62700.0,2761.81,95.23,29,Fragrance,0.45,83,8
LUM-1167,56,Non-Binary,Paris,52500.0,2163.78,240.42,9,Skincare,0.25,65,51
LUM-1168,33,Female,Los Angeles,90000.0,3630.35,181.52,20,Skincare,0.12,23,29
LUM-1169,27,Female,New York,105100.0,3697.5,205.42,18,Bath & Body,0.2,1,14
LUM-1170,26,Non-Binary,London,111000.0,4685.39,130.15,36,Makeup,0.12,26,24
LUM-1171,27,Female,Milan,120000.0,4411.55,152.12,29,Haircare,0.51,42,42
LUM-1172,35,Female,Paris,133000.0,4835.13,117.93,41,Skincare,0.12,14,50
LUM-1173,39,Female,London,106300.0,4934.2,234.96,21,Haircare,0.57,4,39
LUM-1174,39,Female,Dubai,151100.0,5954.79,160.94,37,Haircare,0.32,11,23
LUM-1175,45,Female,Tokyo,89200.0,3910.72,186.22,21,Makeup,0.26,51,35
LUM-1176,36,Female,Dubai,78900.0,3399.17,199.95,17,Bath & Body,0.18,15,19
LUM-1177,51,Female,Tokyo,106300.0,4084.76,140.85,29,Makeup,0.21,58,58
LUM-1178,33,Female,Dubai,77400.0,2816.95,201.21,14,Skincare,0.35,13,31
LUM-1179,65,Non-Binary,New York,149800.0,5653.35,194.94,29,Haircare,0.27,6,55
LUM-1180,42,Male,London,124600.0,4567.55,198.59,23,Makeup,0.22,20,42
LUM-1181,26,Female,Tokyo,111300.0,4120.07,164.8,25,Makeup,0.32,21,12
LUM-1182,24,Female,Paris,89600.0,3161.04,143.68,22,Makeup,0.13,1,20
LUM-1183,41,Female,London,70700.0,3008.84,115.72,26,Skincare,0.32,4,49
LUM-1184,33,Female,Paris,109500.0,4804.52,218.39,22,Bath & Body,0.24,7,54
LUM-1185,43,Female,London,45600.0,2263.44,188.62,12,Makeup,0.27,4,15
LUM-1186,41,Female,London,138700.0,5322.76,156.55,34,Skincare,0.21,14,29
LUM-1187,35,Male,Dubai,78800.0,3245.83,249.68,13,Haircare,0.2,116,12
LUM-1188,26,Female,Tokyo,95700.0,2935.17,88.94,33,Fragrance,0.08,24,34
LUM-1189,19,Female,Tokyo,53200.0,2234.85,223.48,10,Skincare,0.46,34,43
LUM-1190,31,Female,Los Angeles,110300.0,3932.5,245.78,16,Fragrance,0.53,15,47
LUM-1191,45,Female,London,69100.0,2958.82,227.6,13,Makeup,0.19,13,5
LUM-1192,38,Male,New York,107700.0,4191.51,220.61,19,Makeup,0.17,1,24
LUM-1193,22,Male,New York,111500.0,4141.71,142.82,29,Skincare,0.2,24,29
LUM-1194,37,Male,Paris,62300.0,2714.07,118.0,23,Fragrance,0.42,23,57
LUM-1195,40,Female,Paris,45700.0,2130.48,213.05,10,Makeup,0.21,6,5
LUM-1196,26,Female,Dubai,138600.0,5806.59,131.97,44,Haircare,0.25,50,35
LUM-1197,37,Female,London,78300.0,3446.43,111.18,31,Bath & Body,0.34,23,4
LUM-1198,36,Female,Paris,92900.0,3816.59,212.03,18,Bath & Body,0.21,14,13
LUM-1199,23,Female,Paris,102000.0,3785.75,135.21,28,Makeup,0.37,5,48
LUM-1200,39,Male,Milan,41100.0,1616.47,230.92,7,Fragrance,0.28,28,12
LUM-1201,42,Female,London,101200.0,4221.65,222.19,19,Makeup,0.25,48,41
LUM-1202,47,Female,Dubai,88500.0,3537.48,221.09,16,Fragrance,0.26,11,57
LUM-1203,47,Female,Paris,62500.0,2762.31,212.49,13,Haircare,0.17,8,35
LUM-1204,20,Female,Dubai,44500.0,2350.9,235.09,10,Fragrance,0.38,25,9
LUM-1205,25,Female,Tokyo,106200.0,3763.06,221.36,17,Makeup,0.19,5,17
LUM-1206,41,Non-Binary,Dubai,124500.0,5276.61,181.95,29,Haircare,0.15,38,28
LUM-1207,41,Male,New York,91300.0,3986.31,128.59,31,Skincare,0.07,32,13
LUM-1208,41,Non-Binary,New York,34800.0,1101.67,220.33,5,Bath & Body,0.17,3,40
LUM-1209,70,Female,Dubai,48000.0,2885.93,221.99,13,Makeup,0.06,1,29
LUM-1210,42,Female,New York,69900.0,3042.91,160.15,19,Makeup,0.17,33,56
LUM-1211,48,Female,Tokyo,139800.0,5249.44,109.36,48,Makeup,0.35,12,41
LUM-1212,46,Female,London,76400.0,3329.72,184.98,18,Haircare,0.14,3,9
LUM-1213,43,Male,New York,68600.0,2607.76,89.92,29,Skincare,0.3,49,3
LUM-1214,32,Female,New York,26400.0,1587.84,226.83,7,Fragrance,0.37,13,12
LUM-1215,44,Female,Dubai,62000.0,2431.95,243.2,10,Skincare,0.26,21,23
LUM-1216,27,Female,Tokyo,41800.0,2569.11,111.7,23,Haircare,0.37,9,17
LUM-1217,33,Female,Los Angeles,49900.0,2264.53,188.71,12,Makeup,0.76,34,32
LUM-1218,30,Male,Los Angeles,89200.0,3816.95,95.42,40,Bath & Body,0.45,12,32
LUM-1219,36,Female,Los Angeles,71000.0,2749.18,211.48,13,Makeup,0.49,120,10
LUM-1220,61,Female,Los Angeles,144500.0,5802.45,138.15,42,Fragrance,0.35,42,26
LUM-1221,18,Female,London,122700.0,4790.73,199.61,24,Bath & Body,0.38,5,21
LUM-1222,43,Female,Dubai,63700.0,2305.94,144.12,16,Makeup,0.09,18,5
LUM-1223,18,Male,Dubai,52900.0,2279.87,103.63,22,Bath & Body,0.24,17,57
LUM-1224,30,Male,Milan,133400.0,5748.33,147.39,39,Skincare,0.42,26,17
LUM-1225,47,Non-Binary,Tokyo,143100.0,5766.19,120.13,48,Haircare,0.27,64,38
LUM-1226,36,Male,Los Angeles,22000.0,1156.31,192.72,6,Makeup,0.29,30,8
LUM-1227,24,Female,London,88300.0,3029.75,86.56,35,Fragrance,0.19,2,59
LUM-1228,28,Female,Tokyo,76200.0,2917.25,171.6,17,Skincare,0.18,37,44
LUM-1229,43,Female,Los Angeles,107700.0,3847.56,226.33,17,Makeup,0.43,1,52
LUM-1230,27,Female,London,153000.0,5301.5,220.9,24,Skincare,0.15,52,50
LUM-1231,38,Male,Tokyo,68100.0,3119.18,222.8,14,Fragrance,0.75,38,20
LUM-1232,36,Female,Dubai,22000.0,1288.72,257.74,5,Makeup,0.08,12,40
LUM-1233,28,Male,Dubai,105300.0,4724.03,98.42,48,Fragrance,0.31,12,21
LUM-1234,59,Female,Paris,133600.0,4876.71,101.6,48,Bath & Body,0.2,56,51
LUM-1235,42,Female,New York,74400.0,3103.32,172.41,18,Fragrance,0.19,53,52
LUM-1236,18,Female,Los Angeles,60300.0,2192.25,243.58,9,Bath & Body,0.31,15,32
LUM-1237,38,Male,Milan,69700.0,2761.04,251.0,11,Makeup,0.35,12,15
LUM-1238,28,Female,Tokyo,114800.0,4451.37,92.74,48,Bath & Body,0.02,28,41
LUM-1239,45,Female,Milan,69100.0,2806.1,140.3,20,Makeup,0.26,1,54
LUM-1240,27,Female,Paris,96500.0,3893.56,114.52,34,Makeup,0.2,3,14
LUM-1241,34,Female,New York,86000.0,3801.48,211.19,18,Haircare,0.81,4,36
LUM-1242,41,Female,Tokyo,82400.0,3643.93,191.79,19,Makeup,0.26,7,14
LUM-1243,45,Male,London,109500.0,4101.7,100.04,41,Bath & Body,0.05,25,46
LUM-1244,22,Female,Los Angeles,68200.0,2877.89,159.88,18,Haircare,0.36,170,26
LUM-1245,32,Female,New York,69900.0,3184.73,199.05,16,Haircare,0.55,37,6
LUM-1246,30,Female,Dubai,112900.0,4762.22,216.46,22,Makeup,0.37,2,38
LUM-1247,28,Female,Paris,50500.0,2069.15,82.77,25,Fragrance,0.02,26,52
LUM-1248,55,Female,New York,54200.0,2609.45,237.22,11,Fragrance,0.14,24,50
LUM-1249,40,Female,Los Angeles,40900.0,2030.84,184.62,11,Haircare,0.59,5,16
LUM-1250,22,Female,New York,114700.0,4194.7,220.77,19,Makeup,0.35,88,19
LUM-1251,46,Female,Los Angeles,81300.0,3585.55,224.1,16,Fragrance,0.28,20,51
LUM-1252,59,Non-Binary,Dubai,39000.0,1910.46,112.38,17,Makeup,0.13,180,5
LUM-1253,47,Male,Tokyo,114900.0,3999.08,97.54,41,Makeup,0.14,19,40
LUM-1254,19,Female,London,65600.0,2707.84,208.3,13,Haircare,0.48,32,25
LUM-1255,30,Female,Dubai,54500.0,2419.46,105.19,23,Haircare,0.3,3,15
LUM-1256,49,Female,London,78200.0,3055.25,218.23,14,Skincare,0.35,21,11
LUM-1257,28,Male,Tokyo,136800.0,5656.47,202.02,28,Fragrance,0.13,9,23
LUM-1258,40,Female,New York,71200.0,3371.34,224.76,15,Fragrance,0.57,63,43
LUM-1259,44,Female,London,105100.0,4063.75,131.09,31,Fragrance,0.04,53,10
LUM-1260,25,Female,Paris,110400.0,4216.33,131.76,32,Bath & Body,0.06,60,19
LUM-1261,35,Female,Paris,100500.0,3978.13,198.91,20,Makeup,0.11,45,18
LUM-1262,18,Female,Los Angeles,129500.0,4972.48,103.59,48,Haircare,0.31,62,18
LUM-1263,24,Male,Dubai,60300.0,2432.75,202.73,12,Fragrance,0.36,7,30
LUM-1264,33,Female,Tokyo,48500.0,1084.86,216.97,5,Skincare,0.49,21,53
LUM-1265,22,Female,Los Angeles,47800.0,2699.44,149.97,18,Fragrance,0.26,41,58
LUM-1266,53,Female,Dubai,79900.0,3296.63,206.04,16,Makeup,0.45,35,18
LUM-1267,20,Non-Binary,Dubai,51900.0,2263.01,107.76,21,Makeup,0.17,44,59
LUM-1268,31,Female,Los Angeles,90200.0,3754.55,134.09,28,Haircare,0.16,8,48
LUM-1269,37,Male,Milan,87700.0,3545.48,253.25,14,Bath & Body,0.09,3,54
LUM-1270,51,Female,Dubai,120700.0,4595.41,241.86,19,Haircare,0.56,87,48
LUM-1271,20,Female,Milan,95200.0,3530.31,168.11,21,Fragrance,0.21,28,16
LUM-1272,48,Female,Paris,70400.0,2412.42,241.24,10,Skincare,0.49,5,48
LUM-1273,36,Female,Paris,99400.0,3572.69,170.13,21,Haircare,0.3,55,46
LUM-1274,25,Female,Dubai,48900.0,1876.5,134.04,14,Bath & Body,0.42,86,40
LUM-1275,41,Male,Paris,83700.0,3624.78,124.99,29,Haircare,0.28,6,22
LUM-1276,38,Female,Tokyo,96200.0,4084.39,240.26,17,Makeup,0.53,59,47
LUM-1277,29,Female,Milan,89500.0,3367.96,108.64,31,Fragrance,0.17,94,50
LUM-1278,36,Female,Milan,99500.0,3183.4,176.86,18,Fragrance,0.51,97,43
LUM-1279,31,Non-Binary,Dubai,62500.0,2690.24,179.35,15,Fragrance,0.11,85,36
LUM-1280,37,Male,Paris,125300.0,4759.04,206.91,23,Fragrance,0.73,27,56
LUM-1281,43,Female,London,148800.0,5574.12,163.94,34,Fragrance,0.52,15,31
LUM-1282,53,Non-Binary,Los Angeles,28900.0,1798.28,128.45,14,Fragrance,0.34,1,5
LUM-1283,22,Female,Los Angeles,42500.0,2029.1,106.79,19,Skincare,0.47,2,12
LUM-1284,59,Female,Milan,86500.0,3234.59,190.27,17,Bath & Body,0.28,19,22
LUM-1285,18,Male,Dubai,76000.0,2798.08,199.86,14,Fragrance,0.67,17,4
LUM-1286,34,Male,Dubai,151400.0,5720.22,178.76,32,Bath & Body,0.66,7,29
LUM-1287,42,Female,Tokyo,92700.0,3472.58,204.27,17,Fragrance,0.13,17,34
LUM-1288,39,Female,New York,133700.0,5157.78,107.45,48,Haircare,0.06,6,58
LUM-1289,29,Female,New York,22000.0,1577.84,225.41,7,Fragrance,0.36,66,12
LUM-1290,33,Male,Milan,113500.0,4058.57,176.46,23,Makeup,0.24,12,42
LUM-1291,30,Female,Los Angeles,60000.0,2626.33,101.01,26,Skincare,0.5,31,19
LUM-1292,29,Female,Tokyo,59400.0,2853.51,158.53,18,Haircare,0.5,24,56
LUM-1293,45,Female,Tokyo,76300.0,3144.64,224.62,14,Haircare,0.24,1,35
LUM-1294,39,Female,Tokyo,35100.0,1944.97,243.12,8,Makeup,0.27,99,8
LUM-1295,28,Female,Milan,100500.0,3931.32,126.82,31,Fragrance,0.27,26,41
LUM-1296,45,Male,New York,91700.0,3760.75,197.93,19,Skincare,0.08,13,49
LUM-1297,39,Female,Los Angeles,94300.0,3932.74,95.92,41,Haircare,0.4,6,20
LUM-1298,44,Female,Tokyo,116000.0,4388.4,91.42,48,Skincare,0.24,14,11
