Customer_ID,Age,Gender,City,Annual_Income,Total_Spending,Average_Order_Value,Purchase_Frequency,Preferred_Category,Discount_Usage,Days_Since_Last_Purchase,Customer_Lifetime_Months,Spending_To_Income_Ratio,Monthly_Spend_Velocity,Discount_Sensitivity,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Sum,RFM_Segment,Predicted_CLV_3Yr,CLV_Tier,Cluster,Customer_Persona
LUM-1013,18,Female,Tokyo,124400.0,4698.43,130.51,36,Fragrance,0.13,49,3,0.0378,1566.14,Low,2,5,5,255,12,Loyal Customers,30051.09,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1014,18,Male,Paris,85200.0,3159.2,112.83,28,Haircare,0.25,25,7,0.0371,451.31,Moderate,3,4,3,343,10,Loyal Customers,8659.74,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1015,29,Female,Los Angeles,110000.0,3448.13,98.52,35,Haircare,0.29,36,43,0.0313,80.19,Moderate,2,5,3,253,10,Loyal Customers,1538.69,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1016,24,Male,Los Angeles,117800.0,4677.75,187.11,25,Skincare,0.33,3,22,0.0397,212.62,Moderate,5,4,5,545,14,Champions,4079.75,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1017,39,Female,Paris,72600.0,3214.7,153.08,21,Bath & Body,0.12,65,7,0.0443,459.24,Low,1,3,3,133,7,Loyal Customers,8811.9,Platinum Tier 💎,2,Budget Conscious 💄
LUM-1018,26,Female,Milan,66800.0,2807.44,112.3,25,Makeup,0.22,30,38,0.042,73.88,Moderate,3,4,2,342,9,Potential Loyalists,1417.61,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1019,20,Female,London,90400.0,3944.12,187.82,21,Makeup,0.32,149,31,0.0436,127.23,Moderate,1,3,4,134,8,Loyal Customers,2441.29,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1020,52,Female,London,91200.0,3295.94,106.32,31,Skincare,0.37,35,50,0.0361,65.92,High,2,4,3,243,9,Loyal Customers,1264.87,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1021,33,Female,Paris,86900.0,3490.13,174.51,20,Makeup,0.1,62,36,0.0402,96.95,Low,1,3,3,133,7,Loyal Customers,1860.28,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1022,36,Female,London,88300.0,3515.41,167.4,21,Skincare,0.5,56,50,0.0398,70.31,High,1,3,3,133,7,Loyal Customers,1349.11,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1023,20,Female,Dubai,58800.0,2524.97,210.41,12,Fragrance,0.14,14,20,0.0429,126.25,Low,4,1,2,412,7,Potential Loyalists,2422.48,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1024,30,Male,Tokyo,111300.0,4745.88,98.87,48,Haircare,0.23,10,4,0.0426,1186.47,Moderate,4,5,5,455,14,Champions,22765.99,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1025,37,Male,Tokyo,106000.0,4178.55,232.14,18,Bath & Body,0.11,19,18,0.0394,232.14,Low,3,2,4,324,9,Potential Loyalists,4454.3,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1026,23,Female,Paris,38200.0,1748.56,194.28,9,Haircare,0.35,22,31,0.0458,56.41,High,3,1,1,311,5,Need Attention,1082.4,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1027,40,Female,New York,71400.0,2717.99,118.17,23,Haircare,0.05,9,35,0.0381,77.66,Low,4,3,2,432,9,Potential Loyalists,1490.14,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1028,29,Female,Milan,88300.0,3989.07,110.81,36,Fragrance,0.47,78,18,0.0452,221.62,High,1,5,4,154,10,Loyal Customers,4252.44,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1029,32,Female,Paris,66300.0,2391.14,149.45,16,Makeup,0.49,27,37,0.0361,64.63,High,3,2,1,321,6,Need Attention,1240.12,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1030,29,Female,London,107300.0,4089.6,215.24,19,Bath & Body,0.18,134,49,0.0381,83.46,Low,1,3,4,134,8,Loyal Customers,1601.43,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1031,56,Female,Milan,82700.0,3902.68,229.57,17,Makeup,0.31,58,45,0.0472,86.73,Moderate,1,2,4,124,7,At Risk,1664.18,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1032,35,Female,New York,90900.0,3821.97,166.17,23,Haircare,0.41,28,44,0.042,86.86,High,3,3,4,334,10,Loyal Customers,1666.67,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1033,24,Female,London,71000.0,2978.95,229.15,13,Skincare,0.3,102,19,0.042,156.79,Moderate,1,1,2,112,4,Lost Customers,3008.49,Silver Tier 🥈,2,Budget Conscious 💄
LUM-1034,45,Female,Los Angeles,22000.0,1276.51,79.78,16,Haircare,0.27,24,6,0.058,212.75,Moderate,3,2,1,321,6,Need Attention,4082.25,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1035,22,Female,Dubai,22000.0,986.09,89.64,11,Makeup,0.4,76,51,0.0448,19.34,High,1,1,1,111,3,Lost Customers,371.1,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1036,38,Non-Binary,London,105600.0,4175.44,231.97,18,Haircare,0.32,15,6,0.0395,695.91,Moderate,4,2,4,424,10,Potential Loyalists,13353.12,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1037,18,Female,Dubai,94300.0,3695.54,217.38,17,Skincare,0.68,16,53,0.0392,69.73,High,4,2,3,423,9,Potential Loyalists,1337.98,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1038,21,Female,Milan,100400.0,4067.89,156.46,26,Fragrance,0.08,18,27,0.0405,150.66,Low,4,4,4,444,12,Champions,2890.86,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1039,38,Female,Dubai,89700.0,3187.63,212.51,15,Makeup,0.42,27,35,0.0355,91.08,High,3,2,3,323,8,Potential Loyalists,1747.64,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1040,44,Female,Milan,92500.0,3856.86,241.05,16,Haircare,0.37,28,16,0.0417,241.05,High,3,2,4,324,9,Potential Loyalists,4625.27,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1041,37,Female,Milan,118900.0,4966.49,206.94,24,Makeup,0.42,24,26,0.0418,191.02,High,3,3,5,335,11,Loyal Customers,3665.29,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1042,34,Female,Milan,100600.0,3959.85,219.99,18,Fragrance,0.34,12,13,0.0394,304.6,Moderate,4,2,4,424,10,Potential Loyalists,5844.66,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1043,32,Non-Binary,Milan,121400.0,4943.13,205.96,24,Haircare,0.34,91,27,0.0407,183.08,Moderate,1,3,5,135,9,Loyal Customers,3512.94,Silver Tier 🥈,2,Budget Conscious 💄
LUM-1044,19,Female,Milan,91000.0,3778.1,107.95,35,Haircare,0.29,31,30,0.0415,125.94,Moderate,3,5,3,353,11,Loyal Customers,2416.54,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1045,28,Female,London,74500.0,2925.18,225.01,13,Makeup,0.31,18,9,0.0393,325.02,Moderate,4,1,2,412,7,Potential Loyalists,6236.48,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1046,30,Male,Milan,91800.0,3395.44,113.18,30,Makeup,0.34,36,51,0.037,66.58,Moderate,2,4,3,243,9,Loyal Customers,1277.54,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1047,47,Female,London,55700.0,2173.98,241.55,9,Skincare,0.23,51,38,0.039,57.21,Moderate,2,1,1,211,4,Lost Customers,1097.75,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1048,39,Female,Milan,71700.0,3097.37,154.87,20,Fragrance,0.08,113,12,0.0432,258.11,Low,1,3,2,132,6,At Risk,4952.61,Gold Tier 🥇,2,Budget Conscious 💄
LUM-1049,18,Female,Dubai,91200.0,3675.16,193.43,19,Skincare,0.49,24,51,0.0403,72.06,High,3,3,3,333,9,Loyal Customers,1382.69,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1050,39,Female,Los Angeles,90800.0,4060.53,162.42,25,Haircare,0.25,4,38,0.0447,106.86,Moderate,5,4,4,544,13,Champions,2050.43,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1051,31,Male,Milan,81300.0,3582.76,96.83,37,Makeup,0.3,20,33,0.0441,108.57,Moderate,3,5,3,353,11,Loyal Customers,2083.24,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1052,28,Female,New York,36400.0,2010.64,125.66,16,Haircare,0.08,22,21,0.0552,95.74,Low,3,2,1,321,6,Need Attention,1837.06,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1053,42,Female,Milan,107300.0,4334.42,240.8,18,Haircare,0.29,79,20,0.0404,216.72,Moderate,1,2,4,124,7,At Risk,4158.42,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1054,47,Female,Milan,114200.0,4208.34,247.55,17,Bath & Body,0.11,17,51,0.0369,82.52,Low,4,2,4,424,10,Potential Loyalists,1583.39,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1055,46,Female,Dubai,142500.0,5585.1,132.98,42,Bath & Body,0.15,107,8,0.0392,698.14,Low,1,5,5,155,11,Loyal Customers,13395.91,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1056,26,Female,Tokyo,100500.0,4036.66,252.29,16,Haircare,0.49,23,30,0.0402,134.56,High,3,2,4,324,9,Potential Loyalists,2581.94,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1057,32,Female,Dubai,85100.0,3136.99,224.07,14,Makeup,0.11,127,9,0.0369,348.55,Low,1,1,2,112,4,Lost Customers,6687.98,Gold Tier 🥇,2,Budget Conscious 💄
LUM-1058,39,Female,New York,49500.0,2595.48,185.39,14,Haircare,0.3,1,40,0.0524,64.89,Moderate,5,1,2,512,8,Potential Loyalists,1245.11,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1059,46,Male,Tokyo,137200.0,5632.69,117.35,48,Bath & Body,0.17,80,59,0.0411,95.47,Low,1,5,5,155,11,Loyal Customers,1831.88,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1060,30,Female,Paris,93700.0,3436.26,229.08,15,Makeup,0.06,93,14,0.0367,245.45,Low,1,2,3,123,6,At Risk,4709.69,Silver Tier 🥈,2,Budget Conscious 💄
LUM-1061,33,Female,Paris,91800.0,3521.66,176.08,20,Haircare,0.57,113,43,0.0384,81.9,High,1,3,3,133,7,Loyal Customers,1571.5,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1062,23,Male,New York,76100.0,2998.51,230.65,13,Fragrance,0.28,1,52,0.0394,57.66,Moderate,5,1,2,512,8,Potential Loyalists,1106.38,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1063,22,Female,Dubai,73900.0,3269.46,217.96,15,Fragrance,0.06,6,36,0.0442,90.82,Low,5,2,3,523,10,Potential Loyalists,1742.65,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1064,44,Female,London,109100.0,4466.92,223.35,20,Haircare,0.09,37,27,0.0409,165.44,Low,2,3,4,234,9,Loyal Customers,3174.46,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1065,50,Female,New York,49200.0,2235.32,203.21,11,Makeup,0.52,1,19,0.0454,117.65,High,5,1,1,511,7,Lost Customers,2257.47,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1066,35,Female,Los Angeles,141900.0,5548.66,129.04,43,Haircare,0.42,2,55,0.0391,100.88,High,5,5,5,555,15,Champions,1935.69,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1067,47,Female,Tokyo,134300.0,4814.21,137.55,35,Haircare,0.29,8,35,0.0358,137.55,Moderate,4,5,5,455,14,Champions,2639.31,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1068,39,Non-Binary,Tokyo,72600.0,3155.41,131.48,24,Bath & Body,0.07,25,25,0.0435,126.22,Low,3,4,3,343,10,Loyal Customers,2421.91,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1069,28,Female,Milan,54800.0,2387.73,82.34,29,Fragrance,0.3,27,11,0.0436,217.07,Moderate,3,4,1,341,8,Lost Customers,4165.14,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1070,39,Female,Paris,22000.0,1066.29,177.72,6,Bath & Body,0.31,1,8,0.0485,133.29,Moderate,5,1,1,511,7,Lost Customers,2557.57,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1071,52,Male,Tokyo,41200.0,1482.25,211.75,7,Bath & Body,0.1,6,4,0.036,370.56,Low,5,1,1,511,7,Lost Customers,7110.31,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1072,35,Female,New York,110500.0,4375.59,230.29,19,Haircare,0.37,24,40,0.0396,109.39,High,3,3,4,334,10,Loyal Customers,2098.98,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1073,53,Female,Tokyo,96000.0,3967.09,104.4,38,Bath & Body,0.18,31,11,0.0413,360.64,Low,3,5,4,354,12,Loyal Customers,6919.96,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1074,18,Female,New York,102300.0,3569.76,169.99,21,Fragrance,0.19,5,5,0.0349,713.95,Low,5,3,3,533,11,Loyal Customers,13699.27,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1075,45,Non-Binary,London,22000.0,1275.55,79.72,16,Bath & Body,0.27,17,18,0.058,70.86,Moderate,4,2,1,421,7,Lost Customers,1359.66,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1076,36,Female,Milan,71100.0,3025.17,97.59,31,Fragrance,0.62,82,27,0.0425,112.04,High,1,4,2,142,7,At Risk,2149.82,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1077,32,Female,Paris,132900.0,4985.23,103.86,48,Bath & Body,0.27,180,26,0.0375,191.74,Moderate,1,5,5,155,11,Loyal Customers,3679.11,Silver Tier 🥈,2,Budget Conscious 💄
LUM-1078,37,Female,Tokyo,81600.0,3469.95,204.11,17,Fragrance,0.49,152,49,0.0425,70.82,High,1,2,3,123,6,At Risk,1358.89,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1079,18,Female,New York,40500.0,1877.7,93.88,20,Bath & Body,0.19,74,31,0.0464,60.57,Low,1,3,1,131,5,At Risk,1162.22,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1080,33,Female,Dubai,81100.0,3423.45,201.38,17,Bath & Body,0.44,17,46,0.0422,74.42,High,4,2,3,423,9,Potential Loyalists,1427.97,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1081,39,Female,Paris,58000.0,2690.27,122.28,22,Makeup,0.42,40,57,0.0464,47.2,High,2,3,2,232,7,At Risk,905.67,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1082,52,Male,London,96700.0,4044.94,224.72,18,Fragrance,0.49,18,42,0.0418,96.31,High,4,2,4,424,10,Potential Loyalists,1848.0,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1083,30,Female,New York,85700.0,3804.55,223.8,17,Fragrance,0.06,36,28,0.0444,135.88,Low,2,2,4,224,8,At Risk,2607.27,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1084,27,Female,Los Angeles,104000.0,4241.5,249.5,17,Fragrance,0.17,12,40,0.0408,106.04,Low,4,2,4,424,10,Potential Loyalists,2034.7,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1085,30,Male,Los Angeles,42400.0,1840.89,230.11,8,Skincare,0.28,32,37,0.0434,49.75,Moderate,2,1,1,211,4,Lost Customers,954.6,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1086,46,Male,Milan,69300.0,2731.16,248.29,11,Bath & Body,0.53,25,25,0.0394,109.25,High,3,1,2,312,6,Potential Loyalists,2096.29,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1087,39,Female,Milan,123200.0,4493.01,224.65,20,Fragrance,0.08,1,6,0.0365,748.84,Low,5,3,4,534,12,Loyal Customers,14368.74,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1088,30,Female,London,37600.0,1861.35,206.82,9,Skincare,0.38,54,44,0.0495,42.3,High,2,1,1,211,4,Lost Customers,811.65,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1089,41,Female,London,49900.0,2642.89,110.12,24,Makeup,0.27,1,16,0.053,165.18,Moderate,5,4,2,542,11,Potential Loyalists,3169.47,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1090,37,Non-Binary,Milan,92000.0,3612.46,124.57,29,Fragrance,0.44,12,55,0.0393,65.68,High,4,4,3,443,11,Loyal Customers,1260.27,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1091,46,Male,Tokyo,95000.0,3959.88,116.47,34,Fragrance,0.14,1,58,0.0417,68.27,Low,5,5,4,554,14,Champions,1309.96,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1092,28,Female,Tokyo,67900.0,2650.82,176.72,15,Skincare,0.19,16,49,0.039,54.1,Low,4,2,2,422,8,Potential Loyalists,1038.07,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1093,32,Male,New York,75300.0,3193.94,168.1,19,Bath & Body,0.23,2,41,0.0424,77.9,Moderate,5,3,3,533,11,Loyal Customers,1494.75,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1094,31,Female,Dubai,103700.0,4507.3,225.36,20,Makeup,0.04,85,9,0.0435,500.81,Low,1,3,4,134,8,Loyal Customers,9609.54,Platinum Tier 💎,2,Budget Conscious 💄
LUM-1095,19,Female,New York,114700.0,4720.37,236.02,20,Fragrance,0.41,18,10,0.0412,472.04,High,4,3,5,435,12,Loyal Customers,9057.5,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1096,39,Female,Dubai,47600.0,1694.76,154.07,11,Bath & Body,0.29,21,44,0.0356,38.52,Moderate,3,1,1,311,5,Need Attention,739.12,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1097,38,Male,London,97800.0,4094.21,163.77,25,Makeup,0.13,15,53,0.0419,77.25,Low,4,4,4,444,12,Champions,1482.27,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1098,36,Female,Paris,137900.0,5511.37,250.52,22,Haircare,0.15,34,21,0.04,262.45,Low,2,3,5,235,10,Loyal Customers,5035.89,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1099,33,Male,New York,80900.0,3383.55,125.32,27,Haircare,0.2,53,4,0.0418,845.89,Moderate,2,4,3,243,9,Loyal Customers,16230.94,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1100,20,Male,New York,47200.0,2352.26,213.84,11,Makeup,0.25,36,49,0.0498,48.01,Moderate,2,1,1,211,4,Lost Customers,921.22,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1101,31,Female,Dubai,45600.0,1845.95,115.37,16,Skincare,0.23,48,3,0.0405,615.32,Moderate,2,2,1,221,5,At Risk,11806.76,Platinum Tier 💎,3,At-Risk Customers ⚠️
LUM-1102,32,Female,London,79400.0,3297.98,194.0,17,Makeup,0.52,82,44,0.0415,74.95,High,1,2,3,123,6,At Risk,1438.14,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1103,27,Female,London,121300.0,5078.55,123.87,41,Makeup,0.29,69,40,0.0419,126.96,Moderate,1,5,5,155,11,Loyal Customers,2436.11,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1104,34,Female,Los Angeles,83600.0,3731.98,233.25,16,Skincare,0.29,39,56,0.0446,66.64,Moderate,2,2,3,223,7,At Risk,1278.69,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1105,40,Female,Dubai,91600.0,3870.41,175.93,22,Skincare,0.17,8,15,0.0423,258.03,Low,4,3,4,434,11,Loyal Customers,4951.08,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1106,56,Female,London,50100.0,1988.6,110.48,18,Bath & Body,0.54,35,44,0.0397,45.2,High,2,2,1,221,5,At Risk,867.3,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1107,37,Male,Milan,119400.0,4366.86,118.02,37,Bath & Body,0.12,24,46,0.0366,94.93,Low,3,5,4,354,12,Loyal Customers,1821.52,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1108,38,Female,Tokyo,44900.0,2105.86,161.99,13,Skincare,0.34,44,26,0.0469,80.99,Moderate,2,1,1,211,4,Lost Customers,1554.04,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1109,35,Female,Los Angeles,67300.0,2909.73,242.48,12,Haircare,0.49,62,34,0.0432,85.58,High,1,1,2,112,4,Lost Customers,1642.11,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1110,18,Female,Milan,107000.0,4214.89,210.74,20,Haircare,0.25,47,32,0.0394,131.72,Moderate,2,3,4,234,9,Loyal Customers,2527.44,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1111,35,Female,Paris,22000.0,1028.56,171.43,6,Makeup,0.26,65,8,0.0468,128.57,Moderate,1,1,1,111,3,Lost Customers,2467.0,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1112,36,Female,New York,91100.0,3819.59,136.41,28,Fragrance,0.08,2,40,0.0419,95.49,Low,5,4,4,544,13,Champions,1832.26,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1113,63,Female,Los Angeles,48600.0,2234.05,171.85,13,Makeup,0.37,1,35,0.046,63.83,High,5,1,1,511,7,Lost Customers,1224.77,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1114,33,Male,Paris,85600.0,3582.95,210.76,17,Makeup,0.51,10,46,0.0419,77.89,High,4,2,3,423,9,Potential Loyalists,1494.55,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1115,39,Female,New York,72700.0,3222.53,214.84,15,Fragrance,0.58,80,57,0.0443,56.54,High,1,2,3,123,6,At Risk,1084.89,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1116,35,Non-Binary,Tokyo,158700.0,5972.41,135.74,44,Skincare,0.15,60,25,0.0376,238.9,Low,1,5,5,155,11,Loyal Customers,4584.01,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1117,23,Male,London,71200.0,2845.37,203.24,14,Haircare,0.11,40,12,0.04,237.11,Low,2,1,2,212,5,Lost Customers,4549.67,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1118,48,Female,Milan,149500.0,6064.77,189.52,32,Makeup,0.22,42,59,0.0406,102.79,Moderate,2,4,5,245,11,Loyal Customers,1972.33,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1119,44,Male,Dubai,105500.0,3965.29,247.83,16,Fragrance,0.18,45,48,0.0376,82.61,Low,2,2,4,224,8,At Risk,1585.12,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1120,44,Female,Milan,56900.0,2350.75,235.08,10,Bath & Body,0.08,100,17,0.0413,138.28,Low,1,1,1,111,3,Lost Customers,2653.32,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1121,25,Male,Tokyo,96600.0,4251.27,212.56,20,Makeup,0.05,62,25,0.044,170.05,Low,1,3,4,134,8,Loyal Customers,3262.92,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1122,51,Female,Paris,74300.0,2936.39,209.74,14,Haircare,0.15,34,58,0.0395,50.63,Low,2,1,2,212,5,Lost Customers,971.49,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1123,20,Male,Dubai,93500.0,3742.91,124.76,30,Skincare,0.12,38,38,0.04,98.5,Low,2,4,3,243,9,Loyal Customers,1890.02,Bronze Tier 🥉,1,Frequent Buyers 🛍️
