Customer_ID,Age,Gender,Annual_Income,City,Transaction_Date,Product_Category,Purchase_Amount,Discount_Rate,Items_Count,Skin_Type,Fashion_Style
CUST-1285,31,Non-Binary,63955.85,London,2024-02-07,Fragrance,115.79,0.0,1,Mature Luminosity,French Riviera
CUST-2197,18,Female,112008.21,Tokyo,2023-05-03,Fragrance,227.94,0.0,4,Oily Clarity,French Riviera
CUST-1449,44,Female,71567.72,London,2024-05-25,Fragrance,190.07,0.2,2,Oily Clarity,Old Money Luxe
CUST-1096,27,Female,98079.07,Los Angeles,2024-05-25,Skincare,205.33,0.0,3,Sensitive Glow,Minimalist Chic
CUST-1864,40,Female,48442.41,Dubai,2023-12-04,Skincare,143.68,0.05,4,Oily Clarity,Streetwear Glam
CUST-1958,43,Male,96832.92,Dubai,2023-05-24,Bath & Body,130.28,0.05,3,Mature Luminosity,Old Money Luxe
CUST-1234,18,Male,109097.16,Milan,2023-09-11,Fragrance,246.96,0.0,4,Combination Balance,French Riviera
CUST-1228,34,Male,94545.57,New York,2024-02-08,Haircare,58.15,0.1,3,Sensitive Glow,Streetwear Glam
CUST-1006,18,Male,90441.02,Milan,2024-02-24,Bath & Body,180.85,0.0,4,Mature Luminosity,Minimalist Chic
CUST-2039,34,Male,57141.21,Paris,2023-06-10,Bath & Body,213.29,0.05,1,Mature Luminosity,Quiet Luxury
CUST-1407,36,Female,41748.15,London,2023-05-15,Bath & Body,118.74,0.0,4,Sensitive Glow,Quiet Luxury
CUST-2086,36,Female,27836.8,Paris,2023-02-07,Fragrance,233.67,0.0,2,Combination Balance,Streetwear Glam
CUST-1039,33,Non-Binary,97762.81,Paris,2023-10-11,Bath & Body,118.51,0.0,1,Combination Balance,Minimalist Chic
CUST-1118,28,Female,87589.93,London,2023-01-17,Fragrance,259.2,0.1,4,Dry / Dehydrated,Old Money Luxe
CUST-1995,31,Non-Binary,30418.72,Los Angeles,2023-02-06,Skincare,107.84,0.15,4,Mature Luminosity,Minimalist Chic
CUST-1262,36,Male,73179.28,Milan,2023-11-19,Haircare,77.66,0.15,4,Mature Luminosity,Minimalist Chic
CUST-1542,18,Female,92752.73,Dubai,2023-10-15,Fragrance,124.62,0.05,4,Oily Clarity,Minimalist Chic
CUST-2104,18,Female,56230.95,Los Angeles,2023-09-03,Makeup,68.73,0.1,1,Combination Balance,Streetwear Glam
CUST-1764,20,Female,97628.05,Tokyo,2024-02-12,Fragrance,89.8,0.1,1,Oily Clarity,Old Money Luxe
CUST-1507,37,Male,171318.29,London,2024-04-15,Skincare,148.54,0.1,4,Combination Balance,Old Money Luxe
CUST-2134,43,Female,35986.07,London,2023-07-09,Fragrance,220.02,0.05,3,Sensitive Glow,Old Money Luxe
CUST-1145,27,Female,77004.97,Milan,2023-01-05,Skincare,75.34,0.05,1,Sensitive Glow,Old Money Luxe
CUST-1064,28,Female,65214.95,Los Angeles,2023-09-26,Bath & Body,141.9,0.0,3,Dry / Dehydrated,Quiet Luxury
CUST-1487,18,Non-Binary,25235.01,New York,2023-05-07,Haircare,77.12,0.0,2,Sensitive Glow,Quiet Luxury
CUST-1270,40,Female,44992.59,Milan,2023-04-06,Fragrance,103.27,0.0,2,Mature Luminosity,Streetwear Glam
CUST-1497,41,Female,106660.17,Los Angeles,2023-03-17,Haircare,138.86,0.05,3,Oily Clarity,Minimalist Chic
CUST-1193,48,Female,57999.89,Paris,2024-03-28,Haircare,106.83,0.0,2,Combination Balance,Streetwear Glam
CUST-1841,31,Female,51685.21,Tokyo,2024-06-05,Skincare,55.25,0.0,3,Dry / Dehydrated,Old Money Luxe
CUST-1824,30,Male,66890.11,Milan,2024-03-17,Bath & Body,146.23,0.0,3,Dry / Dehydrated,Minimalist Chic
CUST-1392,51,Female,85346.87,London,2023-06-09,Fragrance,148.39,0.15,4,Oily Clarity,Minimalist Chic
CUST-1864,33,Male,27565.58,London,2024-03-02,Bath & Body,184.03,0.05,1,Oily Clarity,Minimalist Chic
CUST-1154,36,Male,72287.55,Tokyo,2024-02-22,Fragrance,95.68,0.0,2,Dry / Dehydrated,Old Money Luxe
CUST-2107,34,Female,123782.0,Los Angeles,2024-02-17,Skincare,118.0,0.0,3,Dry / Dehydrated,Minimalist Chic
CUST-1340,36,Female,73031.71,Tokyo,2023-04-09,Haircare,15.0,0.05,3,Oily Clarity,Minimalist Chic
CUST-1821,45,Female,106941.62,Paris,2023-02-06,Makeup,90.42,0.0,2,Oily Clarity,Old Money Luxe
CUST-1799,43,Female,96446.62,New York,2023-12-08,Haircare,88.66,0.05,4,Combination Balance,Streetwear Glam
CUST-2138,18,Female,84801.05,Milan,2024-05-20,Haircare,113.77,0.05,4,Sensitive Glow,Minimalist Chic
CUST-1607,18,Female,63830.66,London,2023-05-24,Skincare,180.25,0.1,3,Mature Luminosity,Quiet Luxury
CUST-1124,20,Male,74693.83,Milan,2023-05-13,Bath & Body,75.14,0.0,3,Dry / Dehydrated,Old Money Luxe
CUST-2196,50,Female,85114.57,Tokyo,2023-06-17,Fragrance,124.5,0.1,2,Mature Luminosity,Minimalist Chic
CUST-1116,32,Female,88977.73,Dubai,2024-02-26,Skincare,163.63,0.0,1,Sensitive Glow,Old Money Luxe
CUST-1139,18,Non-Binary,39813.41,Milan,2023-06-16,Makeup,84.08,0.1,2,Oily Clarity,Old Money Luxe
CUST-2166,29,Female,67441.89,London,2024-04-20,Fragrance,119.77,0.0,2,Mature Luminosity,Old Money Luxe
CUST-1167,37,Male,93329.33,Tokyo,2024-01-04,Fragrance,64.79,0.0,4,Mature Luminosity,Quiet Luxury
CUST-1647,39,Female,20000.0,New York,2023-06-22,Makeup,177.14,0.1,1,Combination Balance,Minimalist Chic
CUST-1543,32,Female,99587.61,Tokyo,2023-11-01,Makeup,143.68,0.05,1,Combination Balance,Streetwear Glam
CUST-1647,32,Female,128829.56,Los Angeles,2024-04-15,Skincare,81.63,0.05,4,Dry / Dehydrated,Streetwear Glam
CUST-2153,30,Female,99407.73,Paris,2023-11-12,Skincare,47.36,0.0,2,Mature Luminosity,Minimalist Chic
CUST-2036,39,Female,27182.34,New York,2023-09-10,Makeup,138.12,0.1,4,Combination Balance,Old Money Luxe
CUST-1500,48,Male,31742.12,New York,2024-01-09,Bath & Body,127.1,0.0,4,Sensitive Glow,Streetwear Glam
CUST-2112,42,Male,32171.64,Milan,2024-04-05,Bath & Body,187.69,0.2,3,Mature Luminosity,Quiet Luxury
CUST-1016,35,Female,122788.24,Milan,2024-04-02,Fragrance,135.98,0.05,1,Combination Balance,Old Money Luxe
CUST-1275,33,Female,56509.53,New York,2024-03-21,Skincare,87.54,0.0,1,Dry / Dehydrated,Quiet Luxury
CUST-1318,18,Male,68293.42,New York,2024-01-24,Bath & Body,94.1,0.1,4,Mature Luminosity,Minimalist Chic
CUST-1702,40,Female,85342.82,London,2023-07-26,Bath & Body,187.1,0.0,3,Mature Luminosity,Streetwear Glam
CUST-1514,43,Male,88130.29,Los Angeles,2023-04-08,Skincare,131.67,0.2,2,Dry / Dehydrated,Streetwear Glam
CUST-1566,40,Female,53285.45,Paris,2023-06-15,Skincare,125.82,0.1,1,Combination Balance,Minimalist Chic
CUST-1536,29,Female,88370.23,London,2023-07-03,Haircare,215.3,0.1,2,Mature Luminosity,Streetwear Glam
CUST-2148,34,Male,78201.03,Paris,2023-02-12,Skincare,95.93,0.0,2,Dry / Dehydrated,Minimalist Chic
CUST-2117,35,Female,51503.01,Paris,2023-04-03,Bath & Body,94.31,0.15,3,Mature Luminosity,Quiet Luxury
CUST-1303,21,Non-Binary,40858.38,Tokyo,2024-06-17,Makeup,145.21,0.1,2,Dry / Dehydrated,French Riviera
CUST-1746,30,Female,49118.94,Los Angeles,2023-03-14,Skincare,92.32,0.05,1,Combination Balance,Minimalist Chic
CUST-1511,20,Female,124106.32,Milan,2023-02-17,Skincare,110.14,0.05,3,Combination Balance,Quiet Luxury
CUST-1832,40,Female,59490.91,Dubai,2023-02-25,Makeup,83.18,0.0,3,Sensitive Glow,Minimalist Chic
CUST-1362,37,Female,37120.22,Tokyo,2024-06-09,Skincare,188.34,0.0,1,Sensitive Glow,French Riviera
CUST-1843,36,Female,55387.2,Los Angeles,2024-05-20,Makeup,143.59,0.0,2,Combination Balance,Minimalist Chic
CUST-1221,38,Female,53218.83,Tokyo,2023-02-08,Skincare,108.66,0.1,4,Oily Clarity,Minimalist Chic
CUST-1408,25,Female,47961.3,Los Angeles,2023-05-26,Haircare,204.36,0.1,1,Combination Balance,French Riviera
CUST-1466,40,Female,134358.24,London,2024-02-29,Skincare,170.73,0.1,1,Sensitive Glow,Streetwear Glam
CUST-1672,34,Female,95993.69,New York,2023-10-16,Skincare,119.44,0.0,1,Combination Balance,French Riviera
CUST-2043,18,Female,59572.74,Tokyo,2024-03-21,Fragrance,57.06,0.0,2,Combination Balance,Old Money Luxe
CUST-1236,32,Female,54226.25,New York,2024-04-12,Makeup,133.52,0.0,2,Mature Luminosity,French Riviera
CUST-1078,31,Non-Binary,80933.11,Paris,2024-03-16,Fragrance,133.68,0.0,4,Oily Clarity,French Riviera
CUST-1642,18,Female,140417.5,Tokyo,2023-08-13,Fragrance,98.46,0.2,4,Mature Luminosity,Old Money Luxe
CUST-1788,36,Female,121174.51,Dubai,2023-05-19,Makeup,133.3,0.1,2,Combination Balance,Old Money Luxe
CUST-1893,40,Male,32878.2,Paris,2023-06-21,Fragrance,82.6,0.05,2,Mature Luminosity,Minimalist Chic
CUST-1745,18,Female,60435.48,Tokyo,2024-02-23,Skincare,133.05,0.0,1,Combination Balance,Quiet Luxury
CUST-1642,33,Female,77234.85,Milan,2023-08-17,Skincare,144.4,0.1,4,Combination Balance,Quiet Luxury
CUST-1633,47,Female,67038.04,Milan,2023-03-19,Haircare,104.05,0.1,3,Combination Balance,Streetwear Glam
CUST-1605,40,Female,66849.41,Dubai,2024-02-26,Makeup,180.06,0.0,2,Sensitive Glow,Streetwear Glam
CUST-1776,27,Female,124951.24,Milan,2024-05-17,Makeup,41.02,0.0,3,Mature Luminosity,Quiet Luxury
CUST-1616,18,Female,110812.05,Tokyo,2023-01-15,Fragrance,180.74,0.05,4,Dry / Dehydrated,French Riviera
CUST-1587,23,Male,117645.62,London,2024-03-16,Haircare,118.38,0.05,1,Mature Luminosity,Quiet Luxury
CUST-1659,40,Female,53597.9,Tokyo,2023-04-28,Haircare,123.58,0.1,3,Oily Clarity,Minimalist Chic
CUST-2046,27,Male,68253.13,Tokyo,2023-06-06,Makeup,71.06,0.1,1,Dry / Dehydrated,French Riviera
CUST-2055,41,Female,99338.94,Milan,2023-10-10,Fragrance,189.3,0.05,3,Combination Balance,Old Money Luxe
CUST-1481,42,Female,30531.99,Milan,2023-12-29,Bath & Body,194.8,0.0,2,Sensitive Glow,Minimalist Chic
CUST-1301,33,Female,141089.29,Paris,2023-12-22,Skincare,109.86,0.15,4,Sensitive Glow,Streetwear Glam
CUST-1149,32,Male,105124.27,Tokyo,2023-02-20,Haircare,153.62,0.0,1,Mature Luminosity,Minimalist Chic
CUST-1786,22,Female,71855.33,Tokyo,2024-03-06,Haircare,122.79,0.05,1,Sensitive Glow,Minimalist Chic
CUST-1011,42,Female,101774.91,Los Angeles,2023-09-01,Skincare,90.86,0.0,1,Oily Clarity,Minimalist Chic
CUST-1360,29,Female,90703.5,Los Angeles,2023-06-28,Fragrance,183.51,0.0,3,Oily Clarity,Old Money Luxe
CUST-2141,23,Female,45143.24,London,2023-06-26,Skincare,133.86,0.0,1,Oily Clarity,Minimalist Chic
CUST-1951,22,Male,56984.19,Milan,2023-05-28,Fragrance,123.92,0.2,1,Mature Luminosity,Quiet Luxury
CUST-1649,18,Female,139334.0,Los Angeles,2024-03-10,Haircare,122.96,0.0,3,Mature Luminosity,Quiet Luxury
CUST-1873,30,Female,78875.92,Los Angeles,2024-01-06,Fragrance,248.5,0.0,2,Oily Clarity,Minimalist Chic
CUST-1972,20,Female,20000.0,Tokyo,2023-09-21,Bath & Body,174.58,0.0,2,Sensitive Glow,French Riviera
CUST-2067,30,Male,88194.12,Tokyo,2023-02-24,Makeup,161.66,0.0,3,Combination Balance,Streetwear Glam
CUST-1158,18,Female,98391.96,Milan,2024-03-18,Bath & Body,183.58,0.0,3,Sensitive Glow,French Riviera
CUST-1687,18,Female,100258.63,New York,2024-02-22,Fragrance,168.14,0.05,4,Dry / Dehydrated,Minimalist Chic
CUST-1308,33,Male,75325.01,London,2024-03-27,Haircare,123.08,0.1,4,Sensitive Glow,Minimalist Chic
CUST-1131,29,Male,48561.72,Tokyo,2023-05-31,Haircare,89.83,0.05,1,Combination Balance,Quiet Luxury
CUST-1954,29,Male,109184.26,Tokyo,2024-06-06,Skincare,167.91,0.15,1,Sensitive Glow,Streetwear Glam
CUST-1797,45,Female,31172.32,Los Angeles,2023-08-14,Fragrance,157.82,0.0,2,Dry / Dehydrated,Quiet Luxury
CUST-1779,18,Male,66124.19,Tokyo,2023-05-08,Skincare,132.87,0.05,3,Combination Balance,French Riviera
CUST-1798,54,Female,20000.0,Los Angeles,2023-10-05,Haircare,163.49,0.0,1,Mature Luminosity,Quiet Luxury
CUST-1451,42,Male,75460.85,Tokyo,2023-03-16,Makeup,137.38,0.0,3,Combination Balance,Streetwear Glam
CUST-1994,45,Male,78169.83,Paris,2024-01-13,Haircare,82.02,0.0,2,Combination Balance,Streetwear Glam
CUST-1338,31,Female,52530.0,Los Angeles,2023-09-25,Haircare,74.52,0.1,2,Sensitive Glow,Quiet Luxury
CUST-2093,59,Female,69607.86,Paris,2023-05-10,Haircare,103.84,0.1,2,Mature Luminosity,Quiet Luxury
CUST-1055,43,Female,66299.67,Paris,2023-01-29,Haircare,129.93,0.05,2,Sensitive Glow,Streetwear Glam
CUST-1372,22,Female,41207.88,Paris,2023-02-24,Bath & Body,71.21,0.05,2,Oily Clarity,French Riviera
CUST-1433,42,Female,77383.02,Tokyo,2023-05-28,Bath & Body,128.95,0.0,4,Combination Balance,Streetwear Glam
CUST-1569,34,Female,80816.91,Los Angeles,2023-01-17,Haircare,95.99,0.0,4,Combination Balance,Old Money Luxe
CUST-1963,54,Female,94199.58,Paris,2023-05-11,Fragrance,200.06,0.0,3,Dry / Dehydrated,French Riviera
CUST-1459,41,Female,60138.39,Milan,2023-08-04,Skincare,130.88,0.0,4,Dry / Dehydrated,Old Money Luxe
CUST-1506,51,Male,107113.33,London,2023-07-19,Skincare,154.45,0.1,4,Mature Luminosity,Minimalist Chic
CUST-1488,18,Female,73552.38,London,2024-06-02,Haircare,160.92,0.0,1,Dry / Dehydrated,Quiet Luxury
CUST-1446,33,Female,74011.12,Tokyo,2024-02-06,Bath & Body,154.08,0.15,3,Combination Balance,Minimalist Chic
CUST-1234,45,Female,107435.15,Los Angeles,2023-06-20,Makeup,165.11,0.0,3,Combination Balance,Old Money Luxe
CUST-2185,18,Female,68474.32,Paris,2024-05-30,Bath & Body,126.75,0.0,1,Mature Luminosity,Streetwear Glam
CUST-1812,42,Male,37860.99,Milan,2023-06-19,Makeup,133.35,0.0,3,Dry / Dehydrated,Quiet Luxury
CUST-1497,40,Non-Binary,91022.6,Paris,2023-01-29,Bath & Body,111.4,0.0,2,Mature Luminosity,Old Money Luxe
CUST-2159,26,Male,20000.0,Los Angeles,2023-12-25,Skincare,165.99,0.2,2,Combination Balance,Quiet Luxury
CUST-1877,35,Female,28466.28,Milan,2023-10-20,Bath & Body,105.01,0.15,2,Dry / Dehydrated,Quiet Luxury
CUST-1698,18,Female,44815.1,Paris,2024-01-15,Haircare,66.47,0.15,1,Oily Clarity,Old Money Luxe
CUST-1887,38,Female,132743.07,New York,2023-11-06,Haircare,86.81,0.0,4,Sensitive Glow,Streetwear Glam
CUST-1360,18,Female,76849.07,Milan,2024-05-31,Fragrance,94.12,0.0,3,Combination Balance,Quiet Luxury
CUST-2102,26,Female,65665.02,Los Angeles,2023-05-25,Haircare,61.32,0.1,2,Oily Clarity,Streetwear Glam
CUST-1549,26,Female,90823.3,New York,2023-12-23,Makeup,130.15,0.05,2,Dry / Dehydrated,French Riviera
CUST-1923,18,Female,65936.62,London,2023-07-14,Haircare,149.19,0.0,1,Mature Luminosity,Quiet Luxury
CUST-1776,34,Non-Binary,83361.42,New York,2023-05-04,Skincare,152.93,0.0,4,Oily Clarity,French Riviera
CUST-1372,52,Female,97102.52,Tokyo,2023-02-06,Makeup,72.47,0.0,2,Combination Balance,French Riviera
CUST-1697,26,Female,80594.7,New York,2023-04-25,Fragrance,119.18,0.0,1,Combination Balance,Quiet Luxury
CUST-1020,43,Male,108096.87,Dubai,2023-10-16,Makeup,63.41,0.05,1,Dry / Dehydrated,Minimalist Chic
CUST-1832,37,Male,102717.59,Tokyo,2023-12-22,Fragrance,161.02,0.05,2,Sensitive Glow,Streetwear Glam
CUST-2005,37,Female,58770.22,Tokyo,2023-01-31,Skincare,144.03,0.15,2,Dry / Dehydrated,French Riviera
CUST-1453,28,Male,54161.03,Tokyo,2024-06-07,Makeup,85.52,0.1,2,Combination Balance,Quiet Luxury
CUST-1755,36,Female,95443.82,Tokyo,2023-12-26,Fragrance,45.53,0.2,1,Mature Luminosity,French Riviera
CUST-1871,38,Female,129081.37,Milan,2023-08-21,Fragrance,104.61,0.1,2,Combination Balance,French Riviera
CUST-1929,34,Non-Binary,105224.55,New York,2023-10-05,Bath & Body,47.93,0.15,1,Combination Balance,Minimalist Chic
CUST-1247,27,Male,79852.25,Milan,2023-01-22,Makeup,173.68,0.0,2,Combination Balance,Old Money Luxe
CUST-2097,21,Female,61026.95,Los Angeles,2023-01-29,Makeup,138.86,0.1,3,Sensitive Glow,Minimalist Chic
CUST-1991,30,Female,24118.99,New York,2023-10-12,Fragrance,156.61,0.0,2,Mature Luminosity,Quiet Luxury
CUST-1579,42,Male,107466.49,Paris,2023-05-10,Makeup,125.38,0.0,4,Combination Balance,Minimalist Chic
CUST-1739,27,Male,66134.4,London,2024-06-10,Bath & Body,27.66,0.0,2,Dry / Dehydrated,Quiet Luxury
CUST-1259,26,Female,83844.07,New York,2023-09-28,Skincare,105.6,0.1,2,Dry / Dehydrated,Quiet Luxury
CUST-1598,19,Female,78856.18,Milan,2024-01-22,Makeup,112.07,0.05,3,Oily Clarity,Old Money Luxe
CUST-1025,20,Male,87845.88,Dubai,2024-06-10,Bath & Body,107.16,0.2,4,Oily Clarity,Streetwear Glam
CUST-1902,25,Female,120023.51,New York,2024-05-15,Makeup,117.99,0.0,2,Dry / Dehydrated,French Riviera
CUST-1978,18,Female,59134.87,Paris,2023-10-01,Skincare,169.79,0.0,4,Oily Clarity,Streetwear Glam
CUST-1151,35,Female,73192.91,Dubai,2023-04-12,Skincare,165.09,0.1,4,Sensitive Glow,Minimalist Chic
CUST-2152,44,Male,98496.2,New York,2023-02-15,Skincare,162.3,0.0,4,Sensitive Glow,Old Money Luxe
CUST-2142,56,Female,74434.92,Los Angeles,2023-01-02,Haircare,146.24,0.0,4,Mature Luminosity,Quiet Luxury
CUST-1462,49,Female,63222.3,Los Angeles,2023-03-31,Fragrance,173.76,0.0,2,Oily Clarity,Streetwear Glam
CUST-1906,26,Female,89314.57,New York,2023-03-14,Fragrance,189.97,0.0,2,Oily Clarity,French Riviera
CUST-2164,41,Female,120299.5,Dubai,2023-11-14,Skincare,137.9,0.15,2,Mature Luminosity,Old Money Luxe
CUST-1425,28,Male,135334.85,Milan,2024-02-14,Makeup,152.57,0.05,2,Combination Balance,Old Money Luxe
CUST-1321,51,Female,117141.21,London,2024-06-20,Makeup,96.99,0.05,4,Mature Luminosity,Old Money Luxe
CUST-1320,21,Male,61767.54,Paris,2023-12-18,Haircare,150.93,0.0,2,Oily Clarity,Quiet Luxury
CUST-1962,43,Female,53915.67,New York,2023-04-03,Skincare,119.32,0.0,1,Sensitive Glow,French Riviera
CUST-1579,36,Female,64502.51,Milan,2023-12-30,Haircare,176.56,0.05,4,Dry / Dehydrated,Minimalist Chic
CUST-1541,29,Male,152621.69,Los Angeles,2024-02-24,Fragrance,137.37,0.05,1,Sensitive Glow,Streetwear Glam
CUST-1235,47,Female,36411.55,Dubai,2024-01-06,Makeup,185.85,0.05,3,Sensitive Glow,French Riviera
CUST-1291,36,Female,43069.49,Paris,2024-06-03,Skincare,42.56,0.0,1,Sensitive Glow,French Riviera
CUST-2165,48,Female,106891.11,New York,2023-11-14,Haircare,131.53,0.0,2,Dry / Dehydrated,Streetwear Glam
CUST-1622,18,Female,115251.69,Milan,2023-05-10,Haircare,37.71,0.05,4,Combination Balance,Quiet Luxury
CUST-2105,18,Female,101826.3,Tokyo,2024-02-28,Haircare,172.35,0.0,1,Dry / Dehydrated,Quiet Luxury
CUST-1081,29,Female,39842.88,Tokyo,2023-09-27,Bath & Body,92.37,0.0,2,Mature Luminosity,French Riviera
CUST-1052,51,Female,60250.54,Paris,2024-05-27,Makeup,111.83,0.05,4,Mature Luminosity,Quiet Luxury
CUST-1042,20,Female,42587.46,Los Angeles,2023-07-23,Bath & Body,44.37,0.05,3,Mature Luminosity,Old Money Luxe
CUST-1358,35,Female,85751.04,Tokyo,2023-11-30,Fragrance,171.51,0.0,1,Oily Clarity,French Riviera
CUST-1371,34,Female,93190.74,Dubai,2023-02-04,Haircare,122.6,0.0,3,Oily Clarity,Old Money Luxe
CUST-1962,30,Female,86209.76,New York,2023-08-30,Haircare,90.56,0.0,1,Combination Balance,French Riviera
CUST-1214,32,Non-Binary,97908.19,Los Angeles,2024-03-02,Makeup,137.32,0.0,3,Combination Balance,Streetwear Glam
CUST-2014,23,Female,85084.75,New York,2023-12-07,Haircare,73.08,0.05,2,Mature Luminosity,Old Money Luxe
CUST-1931,38,Female,59405.78,Paris,2023-06-24,Bath & Body,215.7,0.15,2,Combination Balance,French Riviera
CUST-1237,31,Female,125085.18,Los Angeles,2023-12-11,Haircare,168.15,0.05,4,Mature Luminosity,Old Money Luxe
CUST-2111,35,Female,48083.49,Tokyo,2023-10-31,Haircare,153.42,0.05,1,Dry / Dehydrated,Minimalist Chic
CUST-2061,35,Female,56143.1,New York,2023-06-08,Fragrance,116.79,0.15,1,Oily Clarity,Streetwear Glam
CUST-1105,35,Female,68896.08,London,2023-01-19,Bath & Body,168.2,0.0,2,Mature Luminosity,Minimalist Chic
CUST-1589,39,Male,90884.92,Tokyo,2024-03-30,Haircare,184.49,0.0,2,Dry / Dehydrated,Old Money Luxe
CUST-1490,29,Female,47593.12,Milan,2024-04-17,Makeup,48.0,0.0,1,Combination Balance,Quiet Luxury
CUST-1028,18,Female,119207.46,Dubai,2023-01-03,Haircare,122.08,0.0,2,Dry / Dehydrated,Minimalist Chic
CUST-1232,29,Female,34233.17,Tokyo,2023-12-09,Skincare,128.55,0.0,3,Sensitive Glow,Streetwear Glam
CUST-1597,29,Male,84802.11,Dubai,2024-01-08,Bath & Body,110.56,0.0,1,Oily Clarity,Streetwear Glam
CUST-1967,37,Female,99272.52,London,2023-04-16,Haircare,89.13,0.05,4,Mature Luminosity,Minimalist Chic
CUST-1785,22,Female,98519.28,London,2023-04-18,Fragrance,70.88,0.0,3,Mature Luminosity,Minimalist Chic
CUST-1142,29,Female,121165.66,New York,2024-03-20,Haircare,131.11,0.0,2,Combination Balance,Quiet Luxury
CUST-1547,31,Female,88812.25,Los Angeles,2023-05-21,Skincare,131.2,0.0,2,Combination Balance,French Riviera
CUST-2187,45,Female,76221.5,Milan,2023-01-10,Haircare,122.03,0.0,1,Sensitive Glow,Streetwear Glam
CUST-2103,39,Female,68656.33,Tokyo,2023-02-19,Bath & Body,135.84,0.0,4,Combination Balance,Quiet Luxury
CUST-2112,47,Female,85888.9,Tokyo,2024-03-14,Haircare,164.61,0.1,3,Combination Balance,Minimalist Chic
CUST-1489,37,Female,56627.24,Dubai,2024-02-23,Haircare,102.29,0.0,4,Sensitive Glow,Streetwear Glam
CUST-1089,36,Female,36576.3,New York,2024-03-16,Haircare,133.39,0.0,1,Oily Clarity,Streetwear Glam
CUST-1311,23,Female,115977.92,Tokyo,2023-10-07,Skincare,203.89,0.05,3,Sensitive Glow,Quiet Luxury
CUST-1679,26,Female,82567.13,Los Angeles,2023-02-05,Skincare,93.29,0.05,3,Oily Clarity,Old Money Luxe
CUST-2077,20,Female,57217.53,Tokyo,2024-05-31,Skincare,90.67,0.05,2,Sensitive Glow,Streetwear Glam
CUST-1316,30,Female,41365.79,Paris,2024-01-16,Haircare,161.2,0.05,3,Combination Balance,French Riviera
CUST-1814,18,Female,41758.92,Milan,2024-03-17,Skincare,119.39,0.0,2,Combination Balance,Quiet Luxury
CUST-1778,33,Non-Binary,88468.9,New York,2024-03-21,Haircare,73.97,0.0,4,Mature Luminosity,Old Money Luxe
CUST-1140,18,Female,62517.57,London,2024-02-10,Bath & Body,82.34,0.05,4,Sensitive Glow,Old Money Luxe
CUST-1888,39,Female,61813.27,Paris,2024-05-14,Skincare,138.08,0.1,2,Oily Clarity,Minimalist Chic
CUST-1613,24,Female,41719.18,Paris,2023-07-15,Skincare,28.19,0.0,3,Combination Balance,Old Money Luxe
