Customer_ID,Age,Gender,City,Annual_Income,Purchase_Frequency,Total_Spending,Average_Order_Value,Max_Single_Spend,Total_Items_Count,Discount_Usage_Rate,Preferred_Category,Days_Since_Last_Purchase,Customer_Lifetime_Days,Monthly_Purchase_Rate
CUST-1056,47,Female,New York,77971.46,25,3479.0,139.16,427.0,70,0.054,Makeup,1,1093,0.69
CUST-1057,22,Female,New York,28829.78,21,3246.0,154.57,336.0,41,0.0643,Makeup,2,1090,0.58
CUST-1058,41,Female,San Francisco,62716.28,23,4284.0,186.26,427.0,61,0.0935,Makeup,1,1090,0.63
CUST-1059,60,Female,New York,49869.09,16,2407.0,150.44,287.0,43,0.1,Haircare,2,1088,0.44
CUST-1060,32,Female,Houston,22000.0,18,2683.0,149.06,369.0,45,0.0472,Fragrance,1,1091,0.49
CUST-1061,43,Male,Seattle,92100.95,22,4487.0,203.95,427.0,55,0.0909,Fragrance,1,1091,0.6
CUST-1062,50,Male,Los Angeles,61365.24,22,3244.0,147.45,326.0,58,0.0659,Makeup,1,1092,0.6
CUST-1063,21,Female,Houston,64751.82,20,3738.0,186.9,427.0,47,0.065,Makeup,357,732,0.82
CUST-1064,51,Female,Miami,91238.6,19,3122.0,164.32,427.0,58,0.0711,Fragrance,2,1091,0.52
CUST-1065,58,Female,San Francisco,79297.28,28,4770.0,170.36,342.0,65,0.0679,Haircare,1,1092,0.77
CUST-1066,50,Non-Binary,Seattle,45404.3,21,3339.0,159.0,315.0,54,0.0714,Haircare,2,1092,0.58
CUST-1067,24,Female,Chicago,57882.1,19,3292.0,173.26,387.0,51,0.0447,Makeup,1,1093,0.52
CUST-1068,38,Non-Binary,Miami,56377.5,24,3862.0,160.92,427.0,64,0.0771,Haircare,1,1093,0.66
CUST-1069,21,Female,Dallas,59628.99,13,2175.0,167.31,427.0,30,0.0692,Bath & Body,2,1092,0.36
CUST-1070,29,Female,Houston,109664.1,21,3076.0,146.48,427.0,57,0.0381,Bath & Body,2,1092,0.58
CUST-1071,35,Female,San Francisco,53475.19,26,5408.0,208.0,427.0,67,0.0577,Skincare,1,1092,0.71
CUST-1072,58,Male,San Francisco,22000.0,24,3548.0,147.83,332.0,58,0.0417,Fragrance,1,1093,0.66
CUST-1073,58,Female,Los Angeles,77817.09,29,4391.0,151.41,390.0,74,0.0621,Fragrance,2,1092,0.8
CUST-1074,58,Female,Chicago,45349.82,21,3030.0,144.29,335.0,58,0.069,Makeup,1,1090,0.58
CUST-1075,36,Female,Dallas,98106.85,23,4640.0,201.74,427.0,55,0.0761,Makeup,1,1092,0.63
CUST-1076,23,Female,Los Angeles,108511.99,24,3598.0,149.92,354.0,64,0.0854,Skincare,1,1088,0.66
CUST-1077,37,Female,Seattle,40236.54,23,2949.0,128.22,331.0,59,0.0543,Haircare,2,1092,0.63
CUST-1078,21,Female,Chicago,85340.49,32,4851.0,151.59,427.0,77,0.0703,Bath & Body,1,1092,0.88
CUST-1079,64,Female,Miami,46274.18,23,2861.0,124.39,349.0,63,0.0804,Makeup,2,1091,0.63
CUST-1080,40,Female,Seattle,50116.26,16,2147.0,134.19,427.0,39,0.0625,Fragrance,2,1089,0.44
CUST-1081,20,Female,Seattle,61249.08,23,3798.0,165.13,427.0,65,0.0609,Makeup,1,1091,0.63
CUST-1082,62,Female,Seattle,98465.12,24,3582.0,149.25,340.0,56,0.0729,Skincare,2,1092,0.66
CUST-1083,36,Female,Seattle,81241.82,25,3744.0,149.76,427.0,69,0.048,Bath & Body,357,737,1.02
CUST-1084,58,Female,Seattle,31323.31,29,4406.0,151.93,427.0,62,0.0707,Bath & Body,357,737,1.18
CUST-1085,64,Male,Miami,56653.82,22,3141.0,142.77,320.0,61,0.1,Haircare,1,1092,0.6
CUST-1086,19,Female,Dallas,29382.45,35,5200.0,148.57,385.0,96,0.0686,Skincare,1,1090,0.96
CUST-1087,33,Female,New York,57658.24,22,3224.0,146.55,395.0,56,0.0773,Haircare,2,1092,0.6
CUST-1088,37,Female,Chicago,84953.37,21,2840.0,135.24,427.0,60,0.0643,Fragrance,1,1093,0.58
CUST-1089,34,Female,Miami,74230.47,23,3191.0,138.74,324.0,54,0.0435,Makeup,1,1092,0.63
CUST-1090,44,Male,New York,44452.48,16,2650.0,165.62,427.0,45,0.0625,Fragrance,2,1089,0.44
CUST-1091,60,Female,Dallas,73351.4,24,3868.0,161.17,369.0,55,0.0667,Bath & Body,1,1092,0.66
CUST-1092,49,Female,Houston,111115.3,22,3919.0,178.14,427.0,53,0.0864,Skincare,1,1093,0.6
CUST-1093,62,Female,Miami,115430.82,11,813.0,73.91,118.0,28,0.0864,Fragrance,357,731,0.45
CUST-1094,39,Male,Los Angeles,26440.53,26,3182.0,122.38,402.0,66,0.0865,Bath & Body,2,1091,0.71
CUST-1095,33,Male,Houston,68332.84,24,3315.0,138.12,307.0,64,0.0625,Bath & Body,1,1093,0.66
CUST-1096,20,Female,Miami,87983.96,22,4381.0,199.14,427.0,53,0.075,Bath & Body,1,1090,0.61
CUST-1097,64,Female,New York,73599.38,18,2312.0,128.44,313.0,46,0.0611,Bath & Body,1,1093,0.49
CUST-1098,36,Female,New York,116850.54,24,3348.0,139.5,427.0,56,0.0521,Bath & Body,2,1092,0.66
CUST-1099,62,Female,Seattle,59723.75,18,2620.0,145.56,341.0,42,0.0917,Makeup,2,1087,0.5
CUST-1100,54,Male,New York,51623.56,25,4437.0,177.48,427.0,53,0.084,Haircare,1,1091,0.69
CUST-1101,42,Male,New York,71056.41,13,2186.0,168.15,339.0,35,0.0654,Skincare,1,1091,0.36
CUST-1102,43,Female,Chicago,105588.46,23,3412.0,148.35,341.0,62,0.0674,Haircare,1,1093,0.63
CUST-1103,18,Male,Chicago,80446.1,27,3355.0,124.26,310.0,69,0.0593,Fragrance,356,738,1.1
CUST-1104,46,Female,Miami,47730.46,26,3922.0,150.85,427.0,62,0.0654,Bath & Body,1,1092,0.71
CUST-1105,32,Female,Dallas,46994.64,27,5293.0,196.04,427.0,73,0.0667,Bath & Body,1,1092,0.74
CUST-1106,33,Female,San Francisco,40580.79,32,4449.0,139.03,335.0,80,0.0688,Bath & Body,1,1092,0.88
CUST-1107,19,Female,San Francisco,88862.3,19,2916.0,153.47,427.0,44,0.0974,Haircare,1,1090,0.52
CUST-1108,25,Female,Houston,48494.09,24,4285.0,178.54,412.0,50,0.0438,Fragrance,1,1093,0.66
CUST-1109,41,Male,Miami,94820.35,22,2333.0,106.05,279.0,59,0.0841,Makeup,1,1091,0.6
CUST-1110,47,Female,Dallas,65627.03,35,5311.0,151.74,427.0,90,0.0757,Makeup,1,1092,0.96
CUST-1111,51,Male,Miami,84125.78,28,4443.0,158.68,427.0,74,0.0714,Bath & Body,1,1090,0.77
CUST-1112,34,Female,San Francisco,54565.8,29,4043.0,139.41,427.0,60,0.0621,Bath & Body,1,1092,0.8
CUST-1113,40,Female,Los Angeles,42012.48,25,4400.0,176.0,427.0,60,0.068,Bath & Body,1,1093,0.69
CUST-1114,64,Female,Houston,79936.48,23,3239.0,140.83,318.0,57,0.0543,Bath & Body,358,734,0.94
CUST-1115,57,Non-Binary,Miami,47554.01,25,4377.0,175.08,427.0,63,0.074,Skincare,358,736,1.02
CUST-1116,34,Male,Chicago,74920.06,27,4265.0,157.96,387.0,62,0.0481,Makeup,1,1093,0.74
CUST-1117,24,Non-Binary,Chicago,77130.03,24,4638.0,193.25,427.0,52,0.0583,Makeup,1,1091,0.66
CUST-1118,59,Female,Houston,74168.01,18,3354.0,186.33,427.0,51,0.0528,Haircare,1,1087,0.5
CUST-1119,60,Male,Dallas,40844.37,16,2890.0,180.62,427.0,42,0.0438,Bath & Body,2,1086,0.44
CUST-1120,54,Male,Miami,112958.48,13,1734.0,133.38,316.0,33,0.0538,Makeup,356,734,0.53
CUST-1121,37,Female,Chicago,52864.3,24,3782.0,157.58,385.0,51,0.0417,Makeup,1,1093,0.66
CUST-1122,38,Female,Dallas,49504.78,28,3909.0,139.61,282.0,68,0.0589,Bath & Body,2,1092,0.77
CUST-1123,55,Female,Seattle,57139.08,15,2380.0,158.67,327.0,36,0.0667,Makeup,2,1084,0.42
CUST-1124,26,Non-Binary,New York,52057.68,27,4287.0,158.78,427.0,68,0.0519,Fragrance,2,1092,0.74
CUST-1125,25,Female,Miami,98712.46,28,3948.0,141.0,315.0,66,0.0732,Bath & Body,2,1091,0.77
CUST-1126,46,Female,Seattle,89909.27,17,2953.0,173.71,427.0,36,0.05,Makeup,2,1092,0.47
CUST-1127,20,Female,Houston,56578.65,22,4011.0,182.32,427.0,70,0.0568,Fragrance,1,1090,0.61
CUST-1128,40,Female,New York,49561.0,28,4428.0,158.14,427.0,66,0.0786,Bath & Body,2,1091,0.77
CUST-1129,41,Male,Houston,87380.27,20,2832.0,141.6,427.0,49,0.0875,Bath & Body,358,735,0.82
CUST-1130,30,Female,Los Angeles,47528.0,23,3226.0,140.26,427.0,61,0.0652,Haircare,1,1093,0.63
CUST-1131,42,Female,Los Angeles,57530.05,23,3733.0,162.3,427.0,54,0.0761,Makeup,2,1091,0.63
CUST-1132,50,Female,Chicago,42203.96,36,6704.0,186.22,427.0,92,0.0722,Makeup,1,1092,0.99
CUST-1133,36,Female,Dallas,87203.68,27,4434.0,164.22,427.0,60,0.0556,Makeup,1,1091,0.74
CUST-1134,24,Female,Miami,80257.92,16,2097.0,131.06,289.0,37,0.0719,Skincare,356,735,0.65
CUST-1135,40,Female,San Francisco,86264.99,20,3253.0,162.65,305.0,48,0.05,Fragrance,2,1084,0.55
CUST-1136,25,Male,San Francisco,77894.8,22,3352.0,152.36,427.0,55,0.0682,Fragrance,2,1092,0.6
CUST-1137,20,Male,Chicago,74837.12,20,2806.0,140.3,361.0,40,0.06,Skincare,2,1092,0.55
CUST-1138,60,Male,Chicago,61409.17,23,4478.0,194.7,390.0,56,0.0717,Skincare,2,1089,0.63
CUST-1139,30,Female,Seattle,58451.69,22,3256.0,148.0,395.0,63,0.05,Skincare,1,1093,0.6
CUST-1140,63,Female,New York,62957.88,26,4417.0,169.88,427.0,67,0.0788,Fragrance,1,1091,0.71
CUST-1141,44,Female,Los Angeles,56202.61,16,2903.0,181.44,303.0,34,0.0844,Fragrance,357,736,0.65
CUST-1142,24,Female,Los Angeles,57345.27,29,4166.0,143.66,427.0,66,0.0931,Makeup,356,738,1.18
CUST-1143,59,Female,New York,80573.65,20,2654.0,132.7,402.0,42,0.0675,Haircare,2,1092,0.55
CUST-1144,43,Female,Miami,26617.1,17,3015.0,177.35,427.0,44,0.0676,Fragrance,1,1093,0.47
CUST-1145,53,Male,Los Angeles,91136.77,24,3351.0,139.62,285.0,65,0.0708,Makeup,1,1091,0.66
CUST-1146,26,Female,Dallas,86505.48,29,4884.0,168.41,427.0,73,0.0672,Makeup,356,738,1.18
CUST-1147,48,Female,Houston,70323.39,21,3702.0,176.29,427.0,52,0.0643,Haircare,1,1093,0.58
CUST-1148,22,Male,Chicago,93433.75,33,6255.0,189.55,427.0,84,0.0773,Bath & Body,2,1092,0.91
CUST-1149,50,Female,Miami,49538.97,18,2725.0,151.39,427.0,51,0.0861,Makeup,356,738,0.73
CUST-1150,29,Female,Dallas,101424.9,17,2776.0,163.29,427.0,33,0.0853,Skincare,2,1090,0.47
CUST-1151,60,Female,Houston,78635.21,20,3828.0,191.4,427.0,55,0.06,Bath & Body,2,1090,0.55
CUST-1152,48,Female,San Francisco,81294.86,16,2080.0,130.0,298.0,48,0.0594,Haircare,357,737,0.65
CUST-1153,61,Female,Seattle,82381.61,21,3276.0,156.0,427.0,53,0.0476,Bath & Body,2,1092,0.58
CUST-1154,40,Male,Seattle,30988.22,27,3873.0,143.44,427.0,66,0.0556,Bath & Body,356,738,1.1
CUST-1155,51,Female,Seattle,57761.19,24,3781.0,157.54,378.0,61,0.0792,Skincare,1,1092,0.66
CUST-1156,24,Female,Miami,60847.67,23,3414.0,148.43,427.0,55,0.0587,Fragrance,358,731,0.94
CUST-1157,50,Male,San Francisco,28382.54,18,3175.0,176.39,427.0,38,0.0806,Haircare,2,1091,0.49
CUST-1158,25,Female,San Francisco,98263.61,17,2923.0,171.94,427.0,46,0.0529,Makeup,1,1093,0.47
CUST-1159,41,Female,Los Angeles,104499.13,25,4544.0,181.76,427.0,67,0.066,Skincare,1,1091,0.69
CUST-1160,37,Male,Miami,49112.46,23,3351.0,145.7,303.0,63,0.0804,Fragrance,1,1093,0.63
CUST-1161,60,Male,Miami,84210.74,35,5874.0,167.83,427.0,96,0.0543,Skincare,2,1092,0.96
CUST-1162,19,Female,Miami,83383.17,21,3572.0,170.1,427.0,48,0.05,Skincare,1,1092,0.58
CUST-1163,37,Female,Dallas,45362.49,17,3105.0,182.65,427.0,46,0.0529,Bath & Body,357,732,0.7
CUST-1164,31,Female,Miami,110893.71,30,4716.0,157.2,427.0,62,0.0783,Skincare,1,1090,0.83
CUST-1165,28,Female,Los Angeles,39818.99,24,4013.0,167.21,427.0,56,0.0562,Makeup,1,1091,0.66
CUST-1166,36,Female,Seattle,90386.96,23,3616.0,157.22,427.0,62,0.063,Haircare,358,736,0.94
CUST-1167,26,Female,Miami,63032.36,17,2917.0,171.59,427.0,46,0.0471,Bath & Body,2,1092,0.47
CUST-1168,62,Female,Seattle,65434.45,26,4214.0,162.08,427.0,61,0.0481,Bath & Body,1,1093,0.71
CUST-1169,22,Non-Binary,New York,31548.61,18,3146.0,174.78,401.0,41,0.0694,Makeup,356,737,0.73
CUST-1170,47,Male,Dallas,53602.94,21,3766.0,179.33,427.0,54,0.0524,Bath & Body,2,1092,0.58
CUST-1171,38,Female,Miami,49119.82,18,2700.0,150.0,325.0,47,0.0778,Haircare,1,1092,0.49
CUST-1172,63,Female,Seattle,48545.16,27,5090.0,188.52,427.0,68,0.0593,Skincare,360,734,1.1
CUST-1173,18,Male,Dallas,63191.16,15,3520.0,234.67,427.0,41,0.0967,Fragrance,2,1091,0.41
CUST-1174,47,Female,Chicago,69070.25,24,3531.0,147.12,427.0,64,0.0583,Skincare,1,1091,0.66
CUST-1175,53,Female,Los Angeles,72300.04,20,3768.0,188.4,427.0,50,0.0675,Bath & Body,358,736,0.82
CUST-1176,61,Female,Houston,38370.74,31,4688.0,151.23,427.0,82,0.0677,Skincare,1,1091,0.85
CUST-1177,23,Non-Binary,Dallas,49166.28,16,2471.0,154.44,405.0,34,0.0844,Makeup,2,1090,0.44
CUST-1178,30,Female,Seattle,112270.31,36,4093.0,113.69,335.0,94,0.0583,Haircare,1,1093,0.99
CUST-1179,54,Female,San Francisco,77886.46,20,2921.0,146.05,393.0,47,0.055,Fragrance,356,738,0.81
CUST-1180,63,Female,Dallas,65149.33,23,4439.0,193.0,427.0,54,0.0891,Haircare,356,736,0.94
CUST-1181,64,Male,Dallas,55938.94,16,2582.0,161.38,427.0,43,0.075,Skincare,364,730,0.66
CUST-1182,33,Female,New York,79003.22,20,2963.0,148.15,324.0,48,0.05,Haircare,1,1093,0.55
CUST-1183,26,Female,Los Angeles,48390.63,17,3835.0,225.59,427.0,32,0.0412,Bath & Body,1,1092,0.47
CUST-1184,34,Male,Miami,48805.59,16,2391.0,149.44,393.0,40,0.0562,Fragrance,2,1092,0.44
CUST-1185,54,Male,Seattle,71367.1,29,4595.0,158.45,427.0,77,0.0828,Makeup,2,1092,0.8
CUST-1186,18,Male,Miami,89454.74,20,3148.0,157.4,427.0,48,0.0625,Skincare,2,1092,0.55
CUST-1187,53,Female,Chicago,35742.66,24,3530.0,147.08,326.0,62,0.0833,Fragrance,1,1093,0.66
CUST-1188,39,Female,Seattle,91224.69,22,3147.0,143.05,341.0,57,0.0977,Skincare,2,1090,0.61
CUST-1189,18,Male,Houston,87519.5,17,2717.0,159.82,427.0,48,0.0706,Haircare,2,1092,0.47
CUST-1190,62,Female,Los Angeles,84523.3,18,3010.0,167.22,427.0,45,0.0833,Haircare,2,1091,0.49
CUST-1191,39,Female,Houston,87979.21,26,4358.0,167.62,427.0,64,0.0885,Bath & Body,1,1091,0.71
CUST-1192,37,Male,Los Angeles,106820.71,18,3313.0,184.06,427.0,43,0.0444,Makeup,1,1090,0.5
CUST-1193,41,Female,Chicago,90428.24,29,5115.0,176.38,427.0,79,0.0448,Fragrance,2,1091,0.8
CUST-1194,30,Female,Los Angeles,38610.16,19,3238.0,170.42,418.0,42,0.1,Bath & Body,1,1092,0.52
CUST-1195,62,Male,Seattle,75026.37,28,4801.0,171.46,427.0,66,0.0625,Skincare,1,1091,0.77
CUST-1196,31,Female,Dallas,50211.87,14,1437.0,102.64,286.0,39,0.0821,Fragrance,357,733,0.57
CUST-1197,35,Female,Chicago,73124.95,24,3731.0,155.46,326.0,53,0.0646,Skincare,1,1091,0.66
CUST-1198,28,Female,Houston,72695.06,20,3582.0,179.1,389.0,48,0.105,Bath & Body,356,738,0.81
CUST-1199,64,Male,Seattle,33708.33,17,3323.0,195.47,427.0,42,0.0765,Haircare,2,728,0.7
CUST-1200,20,Female,Miami,112740.3,27,4683.0,173.44,427.0,66,0.0611,Fragrance,358,736,1.1
CUST-1201,58,Female,Dallas,75621.99,33,5022.0,152.18,427.0,84,0.0485,Fragrance,356,738,1.34
CUST-1202,41,Female,Chicago,94974.65,21,3663.0,174.43,427.0,50,0.0667,Fragrance,356,737,0.85
CUST-1203,54,Female,Dallas,85237.95,26,4968.0,191.08,427.0,67,0.0788,Makeup,1,1093,0.71
CUST-1204,42,Non-Binary,Seattle,56079.69,21,3240.0,154.29,427.0,58,0.0667,Bath & Body,1,1091,0.58
CUST-1205,18,Female,Houston,32563.81,18,2935.0,163.06,382.0,42,0.0861,Fragrance,2,1092,0.49
CUST-1206,34,Male,Dallas,64641.21,22,3856.0,175.27,400.0,58,0.0455,Bath & Body,356,737,0.9
CUST-1207,45,Female,Chicago,43498.69,19,3091.0,162.68,290.0,44,0.0711,Haircare,2,1091,0.52
CUST-1208,55,Female,Miami,88751.18,28,3802.0,135.79,394.0,76,0.0768,Haircare,2,1092,0.77
CUST-1209,34,Female,Seattle,48869.46,25,3827.0,153.08,323.0,67,0.052,Bath & Body,2,1090,0.69
CUST-1210,22,Male,Seattle,93002.59,22,4940.0,224.55,427.0,43,0.0795,Makeup,2,1092,0.6
CUST-1211,23,Female,San Francisco,62572.32,19,3469.0,182.58,427.0,43,0.0684,Bath & Body,361,731,0.78
CUST-1212,26,Male,Chicago,88589.43,24,4196.0,174.83,427.0,48,0.0688,Haircare,1,1093,0.66
CUST-1213,30,Female,Chicago,81941.52,30,5330.0,177.67,427.0,67,0.0683,Skincare,2,1092,0.82
CUST-1214,31,Female,Dallas,73480.56,22,4036.0,183.45,427.0,52,0.0568,Makeup,1,1093,0.6
CUST-1215,26,Female,San Francisco,68663.01,30,3904.0,130.13,320.0,80,0.075,Bath & Body,2,1092,0.82
CUST-1216,27,Female,New York,83531.63,32,4220.0,131.88,427.0,82,0.0594,Bath & Body,1,1093,0.88
CUST-1217,31,Female,Chicago,52340.08,18,3219.0,178.83,427.0,49,0.0639,Bath & Body,2,1091,0.49
CUST-1218,62,Male,Seattle,111835.6,19,2875.0,151.32,427.0,51,0.0474,Bath & Body,1,1093,0.52
CUST-1219,49,Female,New York,70341.15,24,3412.0,142.17,427.0,62,0.0771,Fragrance,356,738,0.98
CUST-1220,43,Male,Dallas,82046.85,27,4221.0,156.33,385.0,66,0.0796,Fragrance,356,738,1.1
CUST-1221,26,Female,New York,56935.09,18,2810.0,156.11,427.0,45,0.0583,Haircare,356,737,0.73
CUST-1222,64,Female,San Francisco,104925.83,21,3535.0,168.33,337.0,60,0.0881,Skincare,1,1092,0.58
CUST-1223,50,Female,New York,68411.12,18,2766.0,153.67,427.0,51,0.05,Makeup,1,1091,0.49
CUST-1224,25,Male,Dallas,69539.66,28,4868.0,173.86,427.0,75,0.0625,Fragrance,1,1093,0.77
CUST-1225,39,Male,Seattle,67056.83,26,4481.0,172.35,381.0,57,0.075,Makeup,1,1092,0.71
CUST-1226,23,Male,San Francisco,82136.51,27,5382.0,199.33,427.0,74,0.0815,Skincare,356,738,1.1
CUST-1227,61,Female,Dallas,94632.31,22,2709.0,123.14,307.0,55,0.0568,Fragrance,2,1088,0.61
CUST-1228,35,Female,Dallas,24765.0,24,3245.0,135.21,427.0,55,0.05,Fragrance,1,1093,0.66
CUST-1229,47,Female,Houston,82441.52,19,3123.0,164.37,427.0,45,0.0526,Bath & Body,2,1091,0.52
CUST-1230,28,Female,San Francisco,105913.88,24,3757.0,156.54,427.0,58,0.0688,Fragrance,357,736,0.98
CUST-1231,64,Female,Dallas,64355.77,29,3602.0,124.21,372.0,74,0.0914,Makeup,1,1092,0.8
CUST-1232,59,Female,Los Angeles,58811.7,29,5261.0,181.41,427.0,82,0.0638,Makeup,1,1093,0.8
CUST-1233,46,Female,New York,79315.73,28,3661.0,130.75,338.0,71,0.075,Bath & Body,2,1087,0.77
CUST-1234,59,Female,Dallas,91586.69,23,3601.0,156.57,394.0,48,0.0848,Skincare,2,1088,0.63
